[0.24s -> 2.24s]  Что, пишем?
[327.86s -> 329.86s]  И конкретная инструкция по сборке стола
[329.86s -> 331.86s]  Которая может спасти нас в любую ненастную погоду
[331.86s -> 333.86s]  Так, нареваем инструкцию
[333.86s -> 335.86s]  Для сбора стола
[335.86s -> 337.86s]  Потому что время уже восьмой час утра
[337.86s -> 339.86s]  Я считаю что это пора
[339.86s -> 341.86s]  Вот такую еще чуть-чуть
[341.86s -> 343.86s]  Закрываем
[343.86s -> 345.86s]  Аромат уже есть нотки дуба
[345.86s -> 347.86s]  В природе
[347.86s -> 349.86s]  Все самое полезное
[349.86s -> 351.86s]  Так, берем
[351.86s -> 353.86s]  Так вот, небрежно
[353.86s -> 355.86s]  Сачку, потому что с утра нужно что-то
[355.86s -> 357.86s]  Витаминное, полезное
[357.86s -> 359.86s]  Поднимаем бокальчик за наших подписчиков
[359.86s -> 361.86s]  Желаем им счастья, любви и здоровья
[361.86s -> 363.86s]  И будем продолжать готовить рубрику
[363.86s -> 365.86s]  Идем в сал вместе с Денисом Сандуковым
[365.86s -> 375.44s]  Погнали
[375.44s -> 377.44s]  Да, что-то делал, что-то переделал
[377.44s -> 379.44s]  Чай заварил, сал нарезал и выпил
[379.44s -> 381.44s]  Еще казан сейчас будем разжигать
[387.38s -> 389.38s]  Там стоит
[389.38s -> 391.38s]  Это Денис Сандуков так поставил
[391.38s -> 393.38s]  Да, это Денис Сандуков
[393.38s -> 400.34s]  Ёлка
[400.34s -> 411.78s]  Папа, папа, папа
[411.78s -> 413.78s]  А ты, а ты что там было другое?
[413.78s -> 415.78s]  Походу это, пацаны
[415.78s -> 417.78s]  Это моя, я положил так поставил
[417.78s -> 419.78s]  Видишь, в эту сторону
[419.78s -> 421.78s]  Там было другое
[421.78s -> 423.78s]  А вот это уже подстояло
[423.78s -> 425.78s]  Дай, Денис Сандуков
[425.78s -> 427.78s]  Двигай, Денис Сандуков
[431.78s -> 433.78s]  Тихо, тихо
[435.78s -> 437.78s]  Тут двойник
[437.78s -> 439.78s]  Тихо, тихо
[439.78s -> 441.78s]  Аккуратно, аккуратно
[443.78s -> 445.78s]  Тихо, тихо
[445.78s -> 447.78s]  Расслабь, расслабь, расслабь
[447.78s -> 449.78s]  Тихо, расслабь, расслабь
[449.78s -> 451.78s]  Пацаны
[451.78s -> 453.78s]  Расслабь
[453.78s -> 455.78s]  Я не знаю, аккуратно
[455.78s -> 457.78s]  Я не знаю, что там было
[457.78s -> 459.78s]  Богородно
[459.78s -> 461.78s]  Я сейчас руку лезу
[463.78s -> 465.78s]  Выбирайте, лезь
[465.78s -> 467.78s]  Чего, пацаны, ничего нет
[467.78s -> 476.98s]  Тебя идёт слава
[476.98s -> 478.98s]  Если что, Дигур
[478.98s -> 480.98s]  Как фрикцион, руками расслабляй
[480.98s -> 482.98s]  Она сейчас вытянула
[482.98s -> 484.98s]  Она вытянула ноги
[484.98s -> 486.98s]  Тихо, тихо, тихо
[486.98s -> 488.98s]  Тёплая рука
[490.98s -> 492.98s]  Дигур, поздравляю, брат
[492.98s -> 494.98s]  Первая рыба моя
[494.98s -> 496.98s]  Привет
[496.98s -> 498.98s]  Вот первые слова Щукова
[498.98s -> 500.98s]  После того, как он достал зубастую хищницу
[500.98s -> 502.98s]  Из-подо льда
[502.98s -> 504.98s]  Ну поймать щучку на 200 килограмма
[504.98s -> 506.98s]  Для меня не удивление
[506.98s -> 508.98s]  Это больше как привычка
[508.98s -> 510.98s]  Ну как зубы почистить
[514.98s -> 516.98s]  Пацаны, я прям одурел
[516.98s -> 518.98s]  Аллигатор
[518.98s -> 520.98s]  Блин, он так попёрл
[520.98s -> 522.98s]  Я вообще одурел
[522.98s -> 524.98s]  Я испугался
[526.98s -> 528.98s]  Ну поймать щучку на 200 килограмма
[528.98s -> 530.98s]  Для меня не удивление
[530.98s -> 532.98s]  Офигеть
[532.98s -> 534.98s]  Ну что могу сказать, это драйв
[534.98s -> 536.98s]  Драйв, реально, я дурил
[536.98s -> 538.98s]  Просто как начала херачить
[538.98s -> 540.98s]  Это больше как привычка
[540.98s -> 542.98s]  Ну как зубы почистить
[546.98s -> 556.62s]  Маманчело
[556.62s -> 558.62s]  Двадцать семьсот сорок
[558.62s -> 560.62s]  Да
[562.62s -> 564.62s]  Ой, как она обратно пошла
[564.62s -> 566.62s]  Вообще, это просто там
[566.62s -> 568.62s]  Резать начало
[568.62s -> 570.62s]  Руки
[570.62s -> 572.62s]  И просто буро
[572.62s -> 574.62s]  Хрена сейчас просто нереальная
[574.62s -> 576.62s]  Такая просто, блин
[576.62s -> 578.62s]  Я не знаю, что это
[578.62s -> 580.62s]  Белас какой-то что ли поехал
[580.62s -> 582.62s]  Камас какой-то
[582.62s -> 584.62s]  Сразу дал прям жару
[584.62s -> 588.13s]  Но по характерным звукам
[588.13s -> 590.13s]  Вы сейчас могли услышать, что щука
[590.13s -> 592.13s]  На берегу
[592.13s -> 594.13s]  А точнее щука на льду
[594.13s -> 596.13s]  И поймал её я вот этими вот
[596.13s -> 598.13s]  Руками, спасибо пацанам за
[598.13s -> 600.13s]  То что ассистировали
[600.13s -> 602.13s]  В этот момент
[602.13s -> 604.13s]  Ну что
[604.13s -> 606.13s]  Вот и всё, третья поездка
[606.13s -> 608.13s]  Мой седьмой подъём
[608.13s -> 610.13s]  За эту зиму жерлить
[610.13s -> 612.13s]  И что я вам скажу, удачно
[612.13s -> 614.13s]  Удачно
[614.13s -> 616.13s]  Максим, ты моя гордость
[616.13s -> 618.13s]  Я тебя поздравляю
[618.13s -> 620.13s]  Как и давай
[620.13s -> 622.13s]  Да не в меня
[622.13s -> 624.13s]  С другой стороны Маш
[624.13s -> 626.13s]  Максим, ты меня целишь
[626.13s -> 628.13s]  Подожди, я что-то неправильно делаю
[628.13s -> 630.13s]  Сейчас я выясню, погоди
[630.13s -> 633.50s]  Да не в меня, Максим
[633.50s -> 635.50s]  Подожди, у меня ещё одна есть
[635.50s -> 637.50s]  В сторону, в сторону
[637.50s -> 639.50s]  Давай-давай
[639.50s -> 641.50s]  Ты меня целишь, Максим
[641.50s -> 643.50s]  Егор, не иди
[643.50s -> 645.50s]  Да ты не целишь
[645.50s -> 647.50s]  Не целишь, а он и стоит
[647.50s -> 649.50s]  Подержи, Пашка
[649.50s -> 651.50s]  Не хватает всё, столько я ждал
[653.50s -> 655.50s]  Да почитай инструкцию, Максим
[655.50s -> 657.50s]  Сейчас я его поздравлю
[657.50s -> 659.50s]  Так
[659.50s -> 661.50s]  Работай по стрелкам
[661.50s -> 663.50s]  По стрелкам три сантиметра
[667.14s -> 669.14s]  Может там что-то отстегнуть надо
[674.70s -> 676.70s]  Да вот
[676.70s -> 678.70s]  Спасибо
[678.70s -> 680.70s]  Достал
[680.70s -> 682.70s]  Вот моя гордость приехала
[682.70s -> 684.70s]  Не получается
[688.70s -> 690.70s]  Эта щука объявила войну
[690.70s -> 692.70s]  И летят самолёты
[692.70s -> 694.70s]  И летят самолёты
[694.70s -> 696.70s]  И бомби
[696.70s -> 698.70s]  Вторую ему
[698.70s -> 700.70s]  Он же ещё сегодня поймает
[700.70s -> 702.70s]  Знаешь почему Егор поймал?
[702.70s -> 704.70s]  Ты же говорил, что кто рано встаёт
[704.70s -> 706.70s]  Кто не просыпает, тот по-любому таскивает
[708.70s -> 710.70s]  Всё вообще не спалось на время полчетвёртого
[710.70s -> 712.70s]  Я его бужу
[712.70s -> 714.70s]  Я говорю Егор, вставай на рыбалку
[714.70s -> 716.70s]  Он мне говорит, я не пойму, на какую рыбалку
[716.70s -> 718.70s]  Звони пацанам
[718.70s -> 720.70s]  Говори, я не встану
[720.70s -> 722.70s]  А время сейчас только полчетвёртого
[722.70s -> 724.70s]  Я ему хотел потом вдобив, кинуть
[724.70s -> 726.70s]  Потому что он встал
[726.70s -> 728.70s]  Я говорю, ты хорош, ещё час
[728.70s -> 730.70s]  И он с удовольствием лёг назад
[730.70s -> 732.70s]  Он даже не отрагировал
[732.70s -> 734.70s]  800, 200, 500
[738.70s -> 740.70s]  Вот он, Егоровская бандура
[740.70s -> 742.70s]  Короче, хотели отпустить
[742.70s -> 744.70s]  Но мы потеряли щипцы
[744.70s -> 746.70s]  Я её ножом, короче
[748.70s -> 750.70s]  И вот этот зёвник
[750.70s -> 752.70s]  Официально кто себе купит
[752.70s -> 754.70s]  Это зёвник для
[754.70s -> 756.70s]  Карандашей
[756.70s -> 758.70s]  Для 500 граммовок
[758.70s -> 760.70s]  Потому что вот эта щука сейчас
[760.70s -> 762.70s]  Она даже не открывает
[762.70s -> 764.70s]  Покрайнее возьмёт
[764.70s -> 766.70s]  Бесполезно, не открывает
[766.70s -> 768.70s]  Сейчас я её уже всё расковырял
[768.70s -> 770.70s]  А когда она зажала
[770.70s -> 772.70s]  Сейчас откроет
[772.70s -> 774.70s]  Егор
[774.70s -> 780.38s]  И эти бусинки
[780.38s -> 782.38s]  Потеряли с неё
[782.38s -> 784.38s]  Одна, а вторая сейчас
[784.38s -> 786.38s]  Она вылетела
[786.38s -> 790.46s]  Смотри, видишь
[790.46s -> 792.46s]  Надо мощнее зёвник
[792.46s -> 794.46s]  Потому что мы уже ловим не 500 граммовок
[794.46s -> 796.46s]  Всё чаще и чаще
[796.46s -> 798.46s]  Мамок всяких забираем
[798.46s -> 800.46s]  Ну чё я её разковырял
[800.46s -> 802.46s]  Полой тому
[802.46s -> 806.80s]  Ну что, друзья, рад вас приветствовать
[806.80s -> 808.80s]  На шикарнейшей рубрике
[808.80s -> 810.80s]  В нашем канале «Люди, которые клюют»
[810.80s -> 812.80s]  Едем с Салом вместе с Денисом Сундуковым
[812.80s -> 814.80s]  Сейчас в данный момент
[814.80s -> 816.80s]  Все зрители по ту сторону экрана
[816.80s -> 818.80s]  Который нас смотрят с телевизора
[818.80s -> 820.80s]  С компа, с телефона
[820.80s -> 822.80s]  Давайте нажимайте на паузу
[822.80s -> 824.80s]  И бегите скорее на кухню, открываете холодильник
[824.80s -> 826.80s]  И заставите, что у вас там есть вкусненькое
[826.80s -> 828.80s]  Если есть сало, то это в первую очередь
[828.80s -> 830.80s]  Если, конечно же, нет
[830.80s -> 832.80s]  Для тех, кто нас смотрит, по любому есть сало
[832.80s -> 834.80s]  Потому что они знают и ждут
[834.80s -> 836.80s]  Да, ну чё, начинаем
[836.80s -> 838.80s]  Как обычно, по инструкции
[838.80s -> 840.80s]  Берём хлеб чёрный
[840.80s -> 842.80s]  Даже пахнет бородинский что-то какой-то
[842.80s -> 844.80s]  Да, Максим?
[844.80s -> 846.80s]  Хлебчик чёрный взяли
[846.80s -> 848.80s]  Сюда вот так горчички
[848.80s -> 850.80s]  Опять новая, Максим
[850.80s -> 852.80s]  Каждый рыбалка новая горчичка
[852.80s -> 854.80s]  Нет, вот так
[854.80s -> 856.80s]  Чик-чик
[856.80s -> 858.80s]  И теперь погнали
[858.80s -> 860.80s]  Это можно всё озвучивать вот таким свистом
[860.80s -> 862.80s]  Прикольным
[872.11s -> 874.11s]  Так, далее
[874.11s -> 876.11s]  Сердцевинка
[876.11s -> 878.11s]  Или сало
[878.11s -> 880.11s]  Ох, ты толсто нарезал, смотри
[880.11s -> 882.11s]  Нормально
[882.11s -> 884.11s]  Кусочек сальцушечки раз
[884.11s -> 886.11s]  Кусочек сальцушечки два
[886.11s -> 888.11s]  Берём
[888.11s -> 890.11s]  Сердцевина лука раз
[890.11s -> 892.11s]  И вторая сердцевина два
[892.11s -> 894.11s]  И всю вот эту массу
[894.11s -> 896.11s]  Всю эту массу
[896.11s -> 901.22s]  К себе в эгрегат
[905.22s -> 907.22s]  Пропал
[914.75s -> 916.75s]  Так, Егор пока у нас
[916.75s -> 918.75s]  Переоснащают джерликсы
[918.75s -> 920.75s]  Он сейчас ещё чуть-чуть туда встал
[920.75s -> 922.75s]  Не, ну нормально
[922.75s -> 924.75s]  Не, я как-нибудь пол килограмма
[924.75s -> 926.75s]  Почти трёх, Егор, попался
[926.75s -> 928.75s]  Хорошо
[948.18s -> 950.18s]  Всё
[950.18s -> 952.18s]  Да?
[952.18s -> 954.18s]  Вот это наша дара
[954.18s -> 956.18s]  Она пошла
[956.18s -> 958.18s]  Заглотила глубоко, да?
[958.18s -> 960.18s]  Это что за мразь была?
[960.18s -> 962.18s]  Откусила
[962.18s -> 964.18s]  Это она заглотила
[964.18s -> 966.18s]  Глубоко получается
[966.18s -> 971.15s]  Вот так вот, Пашка, оператор
[971.15s -> 973.15s]  А у нас нет больше, чем сделать
[973.15s -> 975.15s]  Да?
[975.15s -> 978.46s]  Одну
[978.46s -> 980.46s]  Вот так вот бывает
[980.46s -> 982.46s]  Но, скорее всего, там была хорошая щука
[982.46s -> 984.46s]  Не, она крутая
[984.46s -> 986.46s]  Ну, это так крутится
[986.46s -> 988.46s]  Ну, я почувствовал, когда я её подсох
[988.46s -> 990.46s]  И она сразу
[1010.26s -> 1016.26s]  Небольшая
[1026.22s -> 1028.22s]  Сейчас Светурия никак не хочет
[1028.22s -> 1030.22s]  Сейчас Светурия
[1030.22s -> 1032.22s]  Сейчас Светурия
[1032.22s -> 1034.22s]  Стой-стой-стой
[1034.22s -> 1036.22s]  Давай-давай-давай
[1036.22s -> 1038.22s]  Опа
[1041.98s -> 1043.98s]  Кто-то подлетел, обычно
[1048.13s -> 1050.13s]  Жерлица, которая помогла Щукову
[1050.13s -> 1052.13s]  почувствовать себя рыбаком
[1052.13s -> 1054.13s]  снова встала
[1054.13s -> 1056.13s]  И сейчас к ней бежит Тарелкин
[1056.13s -> 1064.30s]  Подожди-подожди
[1064.30s -> 1071.14s]  Подожди-подожди
[1071.14s -> 1081.42s]  Ну почему?
[1081.42s -> 1091.33s]  Тарелка
[1091.33s -> 1093.33s]  Прикольные вообще эти
[1093.33s -> 1095.33s]  Бурки
[1095.33s -> 1097.33s]  Ну, что? Будет доставать?
[1097.33s -> 1099.33s]  А там есть?
[1099.33s -> 1101.33s]  Не знаю
[1101.33s -> 1103.33s]  Наверное, нет
[1103.33s -> 1107.34s]  Притекай вверх резко
[1107.34s -> 1109.34s]  Есть? Есть, нет?
[1109.34s -> 1111.34s]  Откусила?
[1111.34s -> 1113.34s]  Там такая была щука, скорее всего
[1113.34s -> 1115.34s]  Большая?
[1115.34s -> 1117.34s]  Ну, я почувствовал, когда потёк она сразу
[1117.34s -> 1119.34s]  Что, Макс, ты делаешь?
[1119.34s -> 1121.34s]  Груз чувствуешь?
[1121.34s -> 1125.04s]  Ну, чуть-чуть
[1125.04s -> 1127.04s]  Ну, доставай
[1127.04s -> 1129.04s]  Елки-палки снимай
[1131.04s -> 1134.74s]  Тихо-тихо
[1134.74s -> 1136.74s]  Макс, чуть-чуть расслабляй руки
[1136.74s -> 1143.57s]  Давай-давай, Макс
[1143.57s -> 1145.57s]  Интересно
[1145.57s -> 1147.57s]  Тихо-тихо, не рви
[1147.57s -> 1149.57s]  Отпускай
[1149.57s -> 1151.57s]  Только не полностью
[1151.57s -> 1156.03s]  Держи натяк
[1156.03s -> 1158.03s]  Тепла-богородная
[1158.03s -> 1163.33s]  Что?
[1163.33s -> 1165.33s]  Сейчас рукой достану
[1165.33s -> 1167.33s]  Бойцовскому
[1167.33s -> 1169.33s]  Тихо-тихо, отпускай
[1169.33s -> 1171.33s]  Только натяк
[1171.33s -> 1173.33s]  Не полностью
[1173.33s -> 1175.33s]  Сундук!
[1175.33s -> 1177.33s]  Богород!
[1177.33s -> 1179.33s]  Тепла, давай-давай
[1179.33s -> 1181.33s]  Тихо-тихо
[1181.33s -> 1188.74s]  Отпускай
[1188.74s -> 1190.74s]  Отпусти
[1192.74s -> 1194.74s]  Хорош, Макс
[1194.74s -> 1196.74s]  Всё, не надо
[1196.74s -> 1198.74s]  Достань
[1198.74s -> 1200.74s]  Я рыбак
[1202.74s -> 1204.74s]  Первое показание Тарелкина
[1204.74s -> 1206.74s]  После пойманной щуки
[1206.74s -> 1211.26s]  Не, вот спросите про рыбалку
[1211.26s -> 1213.26s]  Ну, конечно, это моё
[1213.26s -> 1215.26s]  Я с детства и с дедом, и с бабушкой
[1215.26s -> 1217.26s]  И с крёстным всегда на рыбалке
[1217.26s -> 1219.26s]  С самого детства на прудах
[1219.26s -> 1221.26s]  На водоёмах
[1221.26s -> 1223.26s]  Зимой, естественно, жерлице
[1223.26s -> 1225.26s]  Да я вообще по гороскопу-то я рыбак
[1225.26s -> 1227.26s]  Я даже не знаю, ну всё, с рыбой связано
[1227.26s -> 1229.26s]  И я не понимаю, чё там пацаны
[1229.26s -> 1231.26s]  Тоже мозги канифолит
[1231.26s -> 1233.26s]  Ездят на эту рыбалку, я просто подошёл и удёрнул
[1233.26s -> 1235.26s]  Я же знаю, как это всё делать
[1235.26s -> 1237.26s]  Достал щуку, два с половиной килограмма
[1237.26s -> 1239.26s]  Чё сложно в этом увидеть
[1239.26s -> 1241.26s]  Ну, вы ж помните, главное правило
[1241.26s -> 1243.26s]  То, что меньше двух с половиной я не беру
[1243.26s -> 1245.26s]  Поэтому щука такая попалась
[1245.26s -> 1247.26s]  Ну, я профессионал
[1247.26s -> 1249.26s]  Ну, так-то вообще пацаны может не знают про меня
[1249.26s -> 1251.26s]  В следующем году же еду на пал
[1251.26s -> 1253.26s]  Ну, в экипаж с Андрюхом Чулановым
[1253.26s -> 1258.05s]  Ой, *****
[1258.05s -> 1260.05s]  Иди готовь, пожалуйста
[1260.05s -> 1262.05s]  Что я не так сейчас сказал?
[1262.05s -> 1264.05s]  Не уверен
[1264.05s -> 1266.05s]  Уклейки если не в глубину доставишь
[1266.05s -> 1268.05s]  Не забудь проткнуть
[1268.05s -> 1270.05s]  Не понял, чё смеюсь
[1270.05s -> 1272.05s]  Если ты говоришь пацаны не знают
[1272.05s -> 1274.05s]  Не при нас бы хотя бы
[1274.05s -> 1276.05s]  Назад достав
[1276.05s -> 1278.05s]  Назад достав
[1278.05s -> 1280.05s]  Да?
[1280.05s -> 1282.05s]  Да
[1282.05s -> 1284.05s]  Хорош
[1284.05s -> 1286.05s]  Вот туда поджжали, я смотрю здесь стоит опять
[1286.05s -> 1288.05s]  О, маё
[1288.05s -> 1290.05s]  Сеструшу поймал я
[1290.05s -> 1292.05s]  Разосваивайте, я же не умею
[1292.05s -> 1294.05s]  Вот такая же
[1294.05s -> 1301.14s]  У меня самое главное
[1301.14s -> 1303.14s]  Я с багром
[1303.14s -> 1305.14s]  Дай достану
[1305.14s -> 1307.14s]  Теплый, теплый, давай
[1307.14s -> 1309.14s]  Теплый, давай
[1309.14s -> 1312.83s]  Давай
[1312.83s -> 1314.83s]  Маленькая
[1314.83s -> 1316.83s]  Да, у меня такая была тоже
[1316.83s -> 1341.84s]  Была поимка мелкой щуки
[1341.84s -> 1343.84s]  Жалко, что не получится
[1343.84s -> 1345.84s]  Её отпустить
[1345.84s -> 1347.84s]  Случайно багром ей проткнули пузо
[1347.84s -> 1349.84s]  Вот иду
[1349.84s -> 1351.84s]  Переставлять жерлицу
[1351.84s -> 1353.84s]  Ставлю жерца нового
[1353.84s -> 1355.84s]  На одежде
[1355.84s -> 1357.84s]  На ещё один подъём
[1357.84s -> 1359.84s]  И на более крупную поимку
[1359.84s -> 1361.84s]  Оставайтесь с нами
[1361.84s -> 1363.84s]  Мурдик
[1363.84s -> 1365.84s]  Тоже ******
[1365.84s -> 1367.84s]  А дай сальсушку
[1367.84s -> 1369.84s]  Нельзя собакам свинины
[1369.84s -> 1371.84s]  Пойдём, пацаны
[1371.84s -> 1373.84s]  Тихо, тихо
[1373.84s -> 1375.84s]  Чё, сбежали
[1381.22s -> 1411.66s]  Тихо, не беги
[1411.66s -> 1413.66s]  Не, охота у меня была
[1413.66s -> 1418.13s]  Туда надо торопиться
[1418.13s -> 1420.13s]  А вот, да
[1420.13s -> 1422.13s]  Чё?
[1422.13s -> 1424.13s]  Там чё-то есть
[1424.13s -> 1427.57s]  Ещё натянули
[1427.57s -> 1429.57s]  Подсекаем
[1435.57s -> 1437.57s]  Небольшая
[1439.57s -> 1441.57s]  Эх, багор не взяли
[1441.57s -> 1443.57s]  Её отпускаем, да?
[1443.57s -> 1445.57s]  А значит загубку
[1445.57s -> 1447.57s]  И жевец
[1447.57s -> 1449.57s]  Да ну что ж, теперь живёт
[1449.57s -> 1451.57s]  Жевец-то буду свой, я уже работу сделал
[1451.57s -> 1453.57s]  Пускай отбой
[1453.57s -> 1455.57s]  Так, чё себе, держи
[1455.57s -> 1457.57s]  Солома
[1457.57s -> 1461.71s]  Послушайте, он говорит, не надо
[1461.71s -> 1463.71s]  Отпускать, может, не надо
[1463.71s -> 1465.71s]  Не брать к ней
[1465.71s -> 1467.71s]  Ну а на загубку
[1467.71s -> 1469.71s]  Динь-динь-динь
[1469.71s -> 1471.71s]  Динь-динь-динь-динь
[1471.71s -> 1473.71s]  Да, пускай, да?
[1473.71s -> 1475.71s]  Мамка
[1475.71s -> 1477.71s]  Пошла
[1479.71s -> 1481.71s]  Руки испачкал
[1481.71s -> 1483.71s]  Если есть возможность отпускать
[1483.71s -> 1485.71s]  мелкую рыбу
[1485.71s -> 1487.71s]  Обязательно надо воспользоваться
[1487.71s -> 1489.71s]  этой возможностью
[1489.71s -> 1491.71s]  Я сегодня достал щуку
[1491.71s -> 1493.71s]  Вадим, ты достал?
[1493.71s -> 1495.71s]  Ты тоже достал, да?
[1495.71s -> 1497.71s]  Назар достал
[1497.71s -> 1499.71s]  Сейчас Пашка
[1499.71s -> 1501.71s]  оператора достать
[1501.71s -> 1503.71s]  Ага, будешь вставать?
[1503.71s -> 1505.71s]  Макс, а тебе понравилось вставать?
[1505.71s -> 1507.71s]  Не понимаю, вы какие эмоции
[1511.71s -> 1513.71s]  Так ну что, переносимся на кухню
[1513.71s -> 1515.71s]  Сегодня будем готовить достаточно прослёбленное
